accession,kinase_name,hgnc_mgi,kinase_group
A4QPH2,PI4KAP2,PI4KAP2,Atypical
O00141,SGK1,SGK1,AGC
O00238,BMPR1B,BMPR1B,TKL
O00311,CDC7,CDC7,Other
O00329,p110d,PIK3CD,Atypical
O00418,eEF2K,EEF2K,Atypical
O00443,PIK3C2A,PIK3C2A,Atypical
O00444,PLK4,PLK4,Other
O00506,YSK1,STK25,STE
O00750,PIK3C2B,PIK3C2B,Atypical
O14578,CRIK,CIT,AGC
O14730,RIOK3,RIOK3,Atypical
O14733,MAP2K7,MAP2K7,STE
O14757,CHK1,CHEK1,CAMK
O14874,BCKDK,BCKDK,Atypical
O14920,IKKb,IKBKB,Other
O14936,CASK,CASK,CAMK
O14965,AurA,AURKA,Other
O14976,GAK,GAK,Other
O14986,PIP5K1B,PIP5K1B,Atypical
O15021,MAST4,MAST4,AGC
O15075,DCLK1,DCLK1,CAMK
O15111,IKKa,CHUK,Other
O15146,MUSK,MUSK,TK
O15164,TIF1a,TRIM24,Atypical
O15197,EphB6,EPHB6,TK
O15264,p38d,MAPK13,CMGC
O15530,PDK1,PDPK1,AGC
O43187,IRAK2,IRAK2,TKL
O43283,LZK,MAP3K13,TKL
O43293,DAPK3,DAPK3,CAMK
O43318,TAK1,MAP3K7,TKL
O43353,RIPK2,RIPK2,TKL
O43683,BUB1,BUB1,Other
O43781,DYRK3,DYRK3,CMGC
O43921,EFNA2,EFNA2,TK
O60285,NuaK1,NUAK1,CAMK
O60307,MAST3,MAST3,AGC
O60331,PIP5K1C,PIP5K1C,Atypical
O60566,BUBR1,BUB1B,Other
O60885,BRD4,BRD4,Atypical
O75116,ROCK2,ROCK2,AGC
O75385,ULK1,ULK1,Other
O75460,IRE1,ERN1,Other
O75716,MPSK1,STK16,Other
O75747,PIK3C2G,PIK3C2G,Atypical
O75914,PAK3,PAK3,STE
O75962,Trio,TRIO,CAMK
O76039,CDKL5,CDKL5,CMGC
O94768,DRAK2,STK17B,CAMK
O94804,LOK,STK10,STE
O94806,PKD3,PRKD3,CAMK
O94921,PFTAIRE1,CDK14,CMGC
O95382,MAP3K6,MAP3K6,STE
O95747,OSR1,OXSR1,STE
O95819,HGK,MAP4K4,STE
O95835,LATS1,LATS1,AGC
O96013,PAK4,PAK4,STE
O96017,CHK2,CHEK2,CAMK
P00519,ABL1,ABL1,TK
P00533,EGFR,EGFR,TK
P00540,MOS,MOS,Other
P04049,RAF1,RAF1,TKL
P04626,ErbB2,ERBB2,TK
