file	nr	chembl_id	inchi_key	tautomer_smiles	smile
vanwesten_tauromer.csv	1	1_NA_PP1	XSHQBIXMLULFEV-UHFFFAOYSA-N	n1cnc2c(c1N)c(nn2C(C)(C)C)c4cccc3ccccc34	n1cnc2c(c1N)c(nn2C(C)(C)C)c4cccc3ccccc34
vanwesten_tauromer.csv	2	1H_Indazole	BAXOFTOLAUCFNW-UHFFFAOYSA-N	n1cc2ccccc2([nH]1)	n1cc2ccccc2([nH]1)
vanwesten_tauromer.csv	3	5Z_7_Oxozeaenol	ABYOCVZREGLLRG-UHFFFAOYSA-N	O=C1OC(C=CCC(O)C(=O)C(=O)CCCc2cc(OC)cc(O)c12)C	O=C1OC(C)CC=CC(=O)C(O)C(O)CC=Cc2cc(OC)cc(O)c12
vanwesten_tauromer.csv	4	7_Azaindole	MVXVYAKCVDQRLW-UHFFFAOYSA-N	n1ccc2ccc[nH]c12	n1cccc2cc[nH]c12
vanwesten_tauromer.csv	5	A_443654	LUAGJOCSJWAONP-UHFFFAOYSA-N	n3cc(OCC(N)Cc2c[nH]c1ccccc12)cc(c3)C5=Cc4c(n[nH]c4C)CC5	n3cc(OCC(N)Cc2c[nH]c1ccccc12)cc(c3)C5=Cc4c(n[nH]c4CC5)C
vanwesten_tauromer.csv	6	A_674563	BPNUQXPIQBZCMR-UHFFFAOYSA-N	n2cc(OCC(N)Cc1ccccc1)cc(c2)c3ccc4n[nH]c(c4(c3))C	n2cc(OCC(N)Cc1ccccc1)cc(c2)c3ccc4n[nH]c(c4(c3))C
vanwesten_tauromer.csv	7	A_769662	VETSDIJERJUOJL-UHFFFAOYSA-N	N#CC1C(=O)Nc2c(C1(=O))c(cs2)c3ccc(cc3)c4ccccc4(O)	N#CC=1C(=O)Nc2c(C=1(O))c(cs2)c3ccc(cc3)c4ccccc4(O)
vanwesten_tauromer.csv	8	A_83_01	HIJMSZGHKQPPJS-UHFFFAOYSA-N	n1ccc(c2ccccc12)C4=CN(N=C4(c3nc(ccc3)C))C(Nc5ccccc5)=S	n1ccc(c2ccccc12)C4=CN(N=C4(c3nc(ccc3)C))C(Nc5ccccc5)=S
vanwesten_tauromer.csv	9	Abbott_MAP3K8_Inhibitor_Cpd_10b	FIFCMZNMAHBCDZ-UHFFFAOYSA-N	O=C(N)c2cc1c(cnc(N)c1s2)c3cccc(c3)c4ccccc4	O=C(N)c2cc1c(cnc(N)c1s2)c3cccc(c3)c4ccccc4
vanwesten_tauromer.csv	10	Abbott_MAP3K8_Inhibitor_Cpd_38	BWURVMSADXYTFO-UHFFFAOYSA-N	FC(F)(F)c1ccc(cc1)c5ccc(Oc4cncc3c4(cc(c2nnn[nH]2)s3))cc5	FC(F)(F)c1ccc(cc1)c5ccc(Oc4cncc3c4(cc(c2nn[nH]n2)s3))cc5
vanwesten_tauromer.csv	11	Abbott_MAP3K8_Inhibitor_Cpd_41	NCPSMBVBKJXJPP-UHFFFAOYSA-N	O=C(N)c1ccc(cc1)c5ccc(Oc4cncc3c4(cc(c2nnn[nH]2)s3))cc5	O=C(N)c1ccc(cc1)c5ccc(Oc4cncc3c4(cc(c2nn[nH]n2)s3))cc5
vanwesten_tauromer.csv	12	Adenine	GFFGJBXGBJISGV-UHFFFAOYSA-N	n1cnc(N)c2[nH]cnc12	n1cnc2[nH]cnc2(c1N)
vanwesten_tauromer.csv	13	Afatinib	HSPXNODNUFUFPA-UHFFFAOYSA-N	Fc1ccc(cc1Cl)Nc4ncnc3cc(OC2COCC2)c(N=C(O)CC=CN(C)C)cc34	O=C(C=CCN(C)C)Nc4cc2c(ncnc2(Nc1ccc(F)c(c1)Cl))cc4(OC3COCC3)
vanwesten_tauromer.csv	14	AG_205_32539042	OKFHWMLGUMHKFC-UHFFFAOYSA-N	N#Cc2c(NC(=O)c1ccccc1)sc3c2CCCC3	N#Cc2c(NC(=O)c1ccccc1)sc3c2CCCC3
vanwesten_tauromer.csv	15	AG_213	BRCLXZWINIFKMI-UHFFFAOYSA-N	N#CC(=CC=1C=CC(O)C(=O)C=1)C(N)=S	N#CC(=Cc1ccc(O)c(O)c1)C(N)=S
vanwesten_tauromer.csv	16	AG_G_60025	OTHITMYLBRCVIT-UHFFFAOYSA-N	n2c1ccccc1sc2c3ccc6c(c3)[n+](c(C=CN(c4ccccc4)C)n6(c5ccccc5))CC	n2c1ccccc1sc2c3ccc6c(c3)[n+](c(C=CN(c4ccccc4)C)n6(c5ccccc5))CC
vanwesten_tauromer.csv	17	Akt_I_1_2	CBJJSCYIXJYEAW-UHFFFAOYSA-N	n1c4ccccc4(nc(c1c2ccccc2)c3ccc(cc3)C(N)(C)C)	n1c4ccccc4(nc(c1c2ccccc2)c3ccc(cc3)C(N)(C)C)
vanwesten_tauromer.csv	19	Akti_1_2	BIWGYFZAEWGBAL-UHFFFAOYSA-N	O=C2Nc1ccccc1N2C8CCN(Cc3ccc(cc3)c5nc6cc7nc[nH]c7(cc6(nc5(c4ccccc4))))CC8	O=C2Nc1ccccc1N2C8CCN(Cc3ccc(cc3)c5nc6cc7[nH]cnc7(cc6(nc5(c4ccccc4))))CC8
vanwesten_tauromer.csv	20	Aloisine	WVMANZPBOBRWCB-UHFFFAOYSA-N	n2cc[nH]c3nc(c1ccc(OC)cc1)c(c23)CCCC	n1ccnc3c1[nH]c(c2ccc(OC)cc2)c3CCCC
vanwesten_tauromer.csv	21	Aloisine_A	PRIGRJPRGZCFAS-UHFFFAOYSA-N	Oc1ccc(cc1)c3[nH]c2nccnc2c3CCCC	Oc1ccc(cc1)c3[nH]c2nccnc2c3CCCC
vanwesten_tauromer.csv	22	Alsterpaullone	HYRKLSGGHMBEPH-UHFFFAOYSA-N	O=C3N=c1ccccc1c4[nH]c2ccc(cc2c4(=C3))[N+]([O-])O	O=C4Nc1ccccc1c3[nH]c2ccc(cc2c3C4)[N+](=O)[O-]
vanwesten_tauromer.csv	24	Alvocidib	GOFDUVAQVNCPGH-UHFFFAOYSA-N	O=C1C=C(OC2=C(C(=O)CC(=O)C12)C3CCN(C)CC3(O))c4ccccc4Cl	O=C1C=C(Oc2c1c(O)cc(O)c2C3CCN(C)CC3(O))c4ccccc4Cl
vanwesten_tauromer.csv	25	ALW_II_38_3	IYUFHBXMTTXZBE-UHFFFAOYSA-N	O=C(Nc1cc(ccc1C)NC(=O)c2cc(cc(c2)C(F)(F)F)n3cnc(c3)C)c4oncc4	O=C(Nc1cc(ccc1C)NC(=O)c2cc(cc(c2)C(F)(F)F)n3cnc(c3)C)c4oncc4
vanwesten_tauromer.csv	26	ALW_II_49_7	SAAYRHKJHDIDPH-UHFFFAOYSA-N	O=C(N)c1cncc(c1)Nc2cc(ccc2C)C(=O)Nc3cccc(c3)C(F)(F)F	O=C(N)c1cncc(c1)Nc2cc(ccc2C)C(=O)Nc3cccc(c3)C(F)(F)F
