HGNC/MGI cnn_1 cnn_2 cnn_3 cnn_4 cnn_5 cnn_6 cnn_7 cnn_8 cnn_9 cnn_10 cnn_11 cnn_12 cnn_13 cnn_14 cnn_15 cnn_16 cnn_17 cnn_18 cnn_19 cnn_20 cnn_21 cnn_22 cnn_23 cnn_24 cnn_25 cnn_26 cnn_27 cnn_28 cnn_29 cnn_30 cnn_31 cnn_32 cnn_33 cnn_34 cnn_35 cnn_36 cnn_37 cnn_38 cnn_39 cnn_40 cnn_41 cnn_42 cnn_43 cnn_44 cnn_45 cnn_46 cnn_47 cnn_48 cnn_49 cnn_50 cnn_51 cnn_52 cnn_53 cnn_54 cnn_55 cnn_56 cnn_57 cnn_58 cnn_59 cnn_60 cnn_61 cnn_62 cnn_63 cnn_64 cnn_65 cnn_66 cnn_67 cnn_68 cnn_69 cnn_70 cnn_71 cnn_72 cnn_73 cnn_74 cnn_75 cnn_76 cnn_77 cnn_78 cnn_79 cnn_80 cnn_81 cnn_82 cnn_83 cnn_84 cnn_85 cnn_86 cnn_87 cnn_88 cnn_89 cnn_90 cnn_91 cnn_92 cnn_93 cnn_94 cnn_95 cnn_96 cnn_97 cnn_98 cnn_99 cnn_100 cnn_101 cnn_102 cnn_103 cnn_104 cnn_105 cnn_106 cnn_107 cnn_108 cnn_109 cnn_110 cnn_111 cnn_112 cnn_113 cnn_114 cnn_115 cnn_116 cnn_117 cnn_118 cnn_119 cnn_120 cnn_121 cnn_122 cnn_123 cnn_124 cnn_125 cnn_126 cnn_127 cnn_128 cnn_129 cnn_130 cnn_131 cnn_132 cnn_133 cnn_134 cnn_135 cnn_136 cnn_137 cnn_138 cnn_139 cnn_140 cnn_141 cnn_142 cnn_143 cnn_144 cnn_145 cnn_146 cnn_147 cnn_148 cnn_149 cnn_150 cnn_151 cnn_152 cnn_153 cnn_154 cnn_155 cnn_156 cnn_157 cnn_158 cnn_159 cnn_160 cnn_161 cnn_162 cnn_163 cnn_164 cnn_165 cnn_166 cnn_167 cnn_168 cnn_169 cnn_170 cnn_171 cnn_172 cnn_173 cnn_174 cnn_175 cnn_176 cnn_177 cnn_178 cnn_179 cnn_180 cnn_181 cnn_182 cnn_183 cnn_184 cnn_185 cnn_186 cnn_187 cnn_188 cnn_189 cnn_190 cnn_191 cnn_192 cnn_193 cnn_194 cnn_195 cnn_196 cnn_197 cnn_198 cnn_199 cnn_200 cnn_201 cnn_202 cnn_203 cnn_204 cnn_205 cnn_206 cnn_207 cnn_208 cnn_209 cnn_210 cnn_211 cnn_212 cnn_213 cnn_214 cnn_215 cnn_216
ABL1 1.287 2.5856 -0.5202 1.6589 1.0323 0.1951 3.1111 -1.1592 -1.6966 0.8075 0.6549 -0.2993 0.4743 -0.3115 1.4437 2.7908 -0.5156 1.5937 1.4895 1.9822 0.5194 0.5334 0.8976 -0.056 2.7186 0.5276 0.3261 1.6988 0.2989 -2.161 3.9046 4.0566 2.2936 3.1486 3.092 3.4829 0.7399 -0.0885 0.9458 0.6684 0.9507 1.5254 2.798 3.9144 2.1624 2.1523 0.9982 0.525 2.8367 2.1543 1.873 3.0128 3.7673 3.1902 -0.1968 0.5383 -0.7567 1.0245 3.2915 4.4332 4.0734 4.4348 2.2541 -0.9325 -0.1993 0.191 1.589 4.0575 2.3214 3.4412 6.0456 4.7429 -0.3532 -0.719 0.4352 0.8668 2.096 2.3746 3.2334 3.3312 2.6219 -0.5631 -2.2203 -0.7792 -0.8814 -2.4692 -2.6057 -1.1034 -0.1847 -0.0551 -1.3092 -0.6692 -1.7852 -1.0062 1.1647 -2.2973 -2.5324 -1.3002 -2.1091 -1.0733 -1.4216 -1.6768 0.6002 0.7458 -2.7601 -1.134 -1.3828 -2.8021 1.2415 0.6736 0.7359 2.5012 -0.0225 3.2014 4.677 6.1577 1.8153 -0.0429 -0.0022 -0.0724 1.4054 2.0924 2.3034 5.1215 5.9382 4.0257 -0.0462 0.0449 1.3708 2.8549 -0.1237 -0.4036 3.88 4.7146 2.5108 -2.5874 0.7034 -2.2455 2.533 1.6591 -0.8965 -2.0822 -0.0009 -0.0506 -2.8341 -2.2445 -3.0079 1.6056 0.4961 -1.6273 -2.8793 0.7775 -0.7021 -0.952 -1.0608 -0.2271 1.4303 1.6146 0.4251 -1.6805 0.4282 -1.028 1.5553 0.8748 2.42 -0.3429 0.4073 -1.7649 3.3389 3.6394 1.9781 2.2549 0.7499 3.767 0.5292 0.595 2.5572 1.7851 3.1197 3.6807 0.3256 0.8247 0.5215 -0.7972 0.8677 -0.9709 0.6068 0.971 1.0643 2.3353 1.4911 0.495 1.6179 3.4351 3.2253 -1.493 -2.0799 -0.4942 1.7862 3.1523 2.9803 1.7955 0.3181 2.6408 -0.6197 0.4971 -0.2387 2.383 1.0599 1.6671 3.2262 -1.9457 1.3654 1.6912 1.1376 1.4114
ACVR1 0.1381 2.3709 3.8945 -0.7758 -1.2585 2.3902 -1.3877 1.4699 -3.5879 -1.4713 2.6345 1.9637 -0.5953 -2.1454 0.5243 -0.3634 4.6628 0.2797 -1.8682 1.3421 1.3429 -0.1696 1.0053 2.3198 0.7423 1.5449 2.9986 -2.5984 -1.187 -0.2426 -4.1441 -1.1205 -3.6753 -4.5974 -3.7294 -6.7005 -1.0659 -1.4872 -2.7016 -4.9304 -4.9727 -0.9422 -5.1902 -5.6787 -2.6988 0.5164 1.1494 -1.7362 -1.5091 -1.4634 -3.0431 -2.3369 2.3167 -1.8183 0.8835 1.5614 5.341 2.5269 2.643 2.2276 0.7153 1.9596 1.2004 1.9849 2.4377 4.5899 0.4269 3.1533 6.215 2.6855 0.6424 -0.4218 1.2926 2.2596 1.2389 3.0654 3.4577 6.5567 0.8013 -1.5705 0.3025 1.382 -0.1626 -1.0417 3.4176 2.2416 -0.1602 0.5509 1.5927 -1.3138 3.0228 -0.2056 2.0967 6.2501 4.4217 5.3557 4.1469 3.895 3.26 0.2756 -0.3699 -1.2679 2.8899 1.5339 0.133 3.0071 0.7249 1.0716 0.1648 1.581 -1.1012 0.6893 3.8748 2.2801 -2.4167 2.1929 0.7965 1.2041 -0.6306 2.4433 -2.2521 0.6524 -2.6519 -1.7434 -1.0594 -1.0173 -0.8157 -0.6703 -1.788 -2.0043 1.2563 -2.5829 -1.9128 0.5027 -0.8844 3.6697 -1.5221 4.2612 2.0904 4.1373 0.1304 1.6806 3.1373 3.0015 -0.5362 1.8817 -2.5793 1.3753 6.2034 4.0197 -1.9315 0.6279 5.4361 2.0043 -0.1542 -3.6421 -2.1821 4.0177 -4.2808 -2.732 1.2586 2.1564 -0.3252 -2.3974 -3.0043 -0.4905 1.2585 2.825 -3.2194 3.088 2.6234 -0.7325 0.788 -1.923 1.5484 5.8823 -2.7166 -2.3274 5.4467 3.1983 0.9505 0.9621 3.2392 3.0563 6.5821 3.4326 0.7025 5.9302 6.2053 1.3872 4.397 -4.0248 -0.7207 4.6664 -1.9292 0.6808 -1.1956 -0.5297 -0.1635 1.1201 -4.5746 -2.9045 0.7375 -7.5069 -6.3001 -2.7553 -2.2393 -3.7256 0.2735 -2.7188 -4.8387 -2.7914 -7.7666 -7.2315 -2.3984 -2.0801
AKT1 2.7737 6.2669 5.87 3.3498 5.3687 4.6368 1.403 4.0992 5.411 1.3618 -0.9693 4.84 4.0775 1.3541 2.6549 1.8095 1.5752 1.9235 1.4489 -0.3594 1.4688 2.1419 0.0312 1.1608 1.0541 0.248 0.5881 0.6877 0.8104 -0.0102 0.9645 2.3177 0.2346 -0.0063 -1.5161 0.0534 0.3248 0.5032 -3.6539 -0.0052 -1.269 -2.1396 0.3015 -2.944 -2.7784 0.7278 2.3989 0.7677 0.7585 1.9667 0.6546 0.4907 0.3661 0.2111 -0.141 2.2567 0.6186 -1.9369 -1.1813 -1.3868 0.0437 1.8561 -2.067 -1.4177 -0.1828 -1.0343 -1.0983 0.129 -1.3943 -1.2385 -3.6057 -4.5396 -0.1668 -1.2912 -0.3342 -1.1668 -4.3846 -0.8563 -0.5807 -2.3289 -0.7284 2.1824 3.5047 2.7561 2.5309 3.2639 2.3502 0.0268 -1.5749 0.9576 1.5501 2.0858 3.9559 1.9481 5.0494 4.1105 0.5386 1.5648 3.4109 2.7139 3.7453 1.2576 1.8277 4.4898 2.8074 1.0312 2.4775 0.9529 0.0842 -0.9419 -2.6498 0.7605 -0.3309 -2.9004 -0.6902 -3.8742 -2.3162 -2.4569 -7.6409 -5.0719 -3.2284 -6.6158 -2.9746 -1.7048 -1.9107 -0.0892 -0.3495 -0.4188 0.4014 -1.1093 -2.5042 -0.0145 -0.8676 0.1743 0.6273 -1.1019 -4.6863 -1.7214 1.5093 -0.3798 0.5264 1.0875 -2.4082 -0.6657 2.4197 5.3636 -1.9573 2.9608 3.8733 2.9442 3.6509 5.0119 2.8253 2.3562 -0.1825 -0.3099 2.8221 2.156 2.156 1.3061 2.6478 2.4049 0.3728 -0.5258 0.7018 0.7034 -1.2302 1.2453 -0.1886 -1.473 -1.0063 -1.0163 -4.5023 -2.0468 -0.3922 -0.8229 0.3448 -0.9736 -1.2252 0.118 0.5062 1.1691 -0.1258 0.0512 -0.0955 1.6482 -1.2337 -0.3546 1.0124 0.6173 -2.8807 -4.2091 -1.5556 -5.3112 -1.9194 -2.1776 -7.1126 -1.3633 -1.5755 -6.1944 -0.6346 -2.456 -4.3085 -1.865 -2.3772 -5.5667 -0.7816 0.8254 0.2474 0.5473 0.5206 -1.3114 -0.3612 0.103 -1.3328 -0.4539
ALK 1.6519 3.2406 0.6968 2.3313 1.3281 -0.3213 1.3319 0.744 2.7104 1.653 1.3143 -0.1015 3.282 1.9341 0.5171 3.2472 -1.3676 3.6929 1.7213 2.9551 1.8725 2.9838 6.4415 3.3913 5.1612 3.3802 4.602 0.5448 0.5327 -0.4062 2.0735 2.9226 2.7662 2.5977 2.5482 1.1387 -0.7922 -1.3218 -0.4998 -1.9766 -1.8234 -2.3859 0.3808 1.7646 -3.1387 0.6576 2.5288 -0.1351 1.1376 4.2519 0.6132 1.0566 2.002 3.3164 0.2335 0.1385 -2.0927 0.495 1.1193 -0.1206 1.6211 0.9331 -1.0389 -1.0764 -2.6712 -3.205 0.151 -4.0953 -4.6267 0.8817 0.1268 -0.1743 -0.2215 -1.6738 0.809 0.0368 -0.0612 1.5073 3.2213 -0.1419 -2.3921 0.0022 -1.0433 -0.5981 -0.85 -1.6028 -2.186 -0.7566 -1.6617 -1.0657 2.0451 0.8443 0.5912 1.3877 -1.2326 -0.8778 -4.119 -3.9464 -0.1083 0.2393 -1.1933 0.9339 0.2631 -1.6719 2.1217 -3.459 -6.5741 -2.8281 0.0992 0.1894 0.3474 2.0168 -0.9388 0.0428 1.9102 2.2027 0.853 -1.2515 0.656 1.5135 -2.3888 2.0151 2.1 1.6951 2.8164 2.6743 -0.8063 -2.2634 0.976 -0.3977 -5.5153 -2.6547 2.3866 -1.4791 0.3187 -1.301 2.2258 -0.8163 0.2529 0.5545 1.6694 -1.7681 -0.5998 -2.3776 0.0285 2.1276 -1.8375 1.3749 5.1176 0.4722 -1.118 4.6769 -2.983 1.1987 0.8061 0.9773 4.179 4.4218 5.7242 0.0705 2.5875 3.7688 1.2394 0.4798 2.0601 -0.9643 0.1144 -1.1936 1.6282 -0.9121 0.4041 2.2995 -0.2934 2.3271 1.033 -1.1811 0.4387 -1.3934 -3.0378 -0.3691 -0.5272 -0.4094 -1.279 -2.8437 -3.0647 -5.8657 -0.8515 -2.6461 -2.7295 1.9213 -0.256 -1.0093 0.6471 -1.5888 1.1304 -1.7934 -0.9848 1.1956 0.1101 -1.1972 2.079 0.0763 -2.6793 1.6906 -3.5021 -1.9188 -0.6495 2.465 -0.0613 0.4645 2.7942 0.0819 0.0471 -1.3503 -0.4706 1.6566
AURKA 0.3185 3.3852 4.1035 -0.0018 4.4638 5.7597 -1.9464 0.0073 4.5366 -0.7777 4.7266 4.3456 -1.1759 4.2692 3.1866 -1.1361 0.8129 5.5892 -0.4883 2.6777 4.188 -0.9632 3.6748 2.8007 -0.3742 0.2821 2.4549 -3.9242 -4.4298 -0.5078 -5.5356 -6.6175 0.72 -3.5199 -4.5762 -0.195 -5.2059 -7.8763 -4.8894 -3.6654 -6.6833 -0.2117 -3.3982 -4.5727 0.8381 -0.4499 -1.412 -1.6294 0.1493 -2.3833 0.3512 -1.3864 -1.7187 -1.8841 -2.4511 -3.8708 0.6331 1.6187 -0.7783 0.151 0.8424 -0.1953 -2.346 -1.6787 -3.5108 -2.8469 0.8857 -4.2981 -2.2747 2.4789 -1.4454 -1.139 0.0609 -1.2516 -2.5226 3.3288 2.8606 -0.0545 2.2272 1.9354 -2.7385 2.0866 4.6086 5.0423 0.2907 0.5951 -0.7526 2.4951 4.0624 3.4201 2.517 3.9339 4.0089 0.8066 2.2936 2.1635 3.9754 2.5433 3.6888 0.273 1.1351 1.5197 -0.3681 1.2776 -1.2343 1.2491 0.2629 3.5413 -3.3954 -1.9874 -1.1396 -2.1072 -3.4889 -3.7265 -0.2587 -2.3543 -0.5224 -0.8437 1.3555 0.0805 -1.2038 3.276 -0.4106 -0.6433 -1.647 -1.8823 -2.8061 -1.0139 -0.4117 -5.3128 -3.56 -2.1219 -0.5881 -1.8881 0.0528 3.3456 1.3767 2.8712 0.7293 1.2373 4.7642 1.9421 5.483 1.8963 2.3099 0.634 2.6159 2.5205 2.9131 4.3082 1.426 6.9996 -0.754 3.771 2.5613 -0.3179 1.2533 1.6118 0.3517 -0.2475 3.9674 -2.4924 -2.6464 -4.3529 -8.121 -1.9992 -3.2197 -4.0574 -3.2711 -3.213 -2.4311 -1.6578 -0.9351 -3.6863 -2.2808 -1.5155 -0.3387 0.3452 0.3017 -1.6646 -0.9142 -1.2617 -0.1306 1.2702 0.9322 1.581 1.5979 0.6801 -0.897 1.4867 0.7587 -1.7319 1.3867 2.4935 -1.4333 1.6966 6.7655 1.9096 -0.9201 -0.6258 -3.3818 -1.2969 1.24 -2.9065 -3.1476 -3.4115 -4.9046 -1.547 -0.2604 -0.4497 -0.2403 0.8585 -0.9393 -0.8585 -1.8001 -2.6367
BRAF 0.5975 0.9434 3.648 3.0988 0.7784 2.989 1.0004 -0.7533 -0.3973 -5.1144 -1.3735 0.0404 -0.4617 -0.848 2.1099 2.4335 1.1112 2.5634 -0.8985 1.4201 1.4997 1.1205 0.7933 1.6922 2.2335 2.0529 2.5931 -2.8155 -6.5029 -1.8127 -4.0005 -5.3929 -0.5091 -3.7831 -5.1756 -1.6208 -3.983 -10.3433 -3.4455 -4.2401 -7.7962 -2.6888 -5.1251 -7.1722 -2.7384 0.937 -0.7655 0.508 0.9017 -0.1491 2.0812 -0.9798 -1.7457 -0.9823 1.4817 0.4424 4.3874 5.4388 1.9216 2.3245 4.293 2.8728 1.8523 0.9937 0.3637 0.6664 0.5052 0.6188 -1.1679 0.4333 0.4927 0.0757 -0.9345 -0.277 0.8638 -1.0471 1.6544 1.6265 0.5615 1.1828 -0.2267 1.6096 1.6322 -0.5429 2.2928 2.5973 1.0387 1.5018 2.4482 1.9485 2.2602 2.6575 -1.1884 3.9326 3.3999 0.8767 2.5806 2.7973 2.866 0.7828 0.0868 -0.696 1.5695 -0.5611 -2.2519 0.8531 0.2851 0.7181 3.6119 3.4484 3.5659 1.6847 -0.8975 1.9629 -1.4491 -1.691 1.4944 1.6725 1.9015 2.4627 0.5594 1.4935 0.5384 -1.6054 -1.7019 -0.7998 1.3996 2.7263 2.7356 0.5274 1.0589 -0.1394 0.8424 1.8569 0.5983 0.7003 0.2309 -1.7584 2.366 6.6435 3.4017 2.2167 3.8589 3.1352 -0.7281 3.0342 -1.2318 1.973 12.4651 4.6759 3.6393 10.5108 6.0719 -0.1531 1.2866 -1.3922 1.6129 6.1994 1.2548 1.7786 4.6227 2.5381 -2.3935 -4.0498 -3.3759 -1.6979 -2.4777 -1.9887 -2.0396 -2.3791 -2.1824 1.9579 0.2317 -1.1986 3.1571 5.0481 -0.0842 -0.0956 1.8036 -0.0225 0.7696 1.4451 1.0423 3.5994 6.5342 2.4251 1.9126 3.5538 2.2277 4.5535 6.5776 -0.4843 3.2955 5.5263 5.2816 0.3019 0.5182 3.1717 2.7751 4.8154 1.2378 2.3689 3.7976 0.225 -2.7391 -2.0015 -0.7854 1.1907 1.2768 1.2484 1.6809 0.7114 1.5112 0.1941 0.2581 1.046
BTK -0.4785 0.738 -2.4827 -1.5039 -2.8078 -3.6456 1.7896 2.0223 2.1471 0.5949 -0.5628 -1.93 -1.1127 -2.1238 -2.6009 1.5756 2.3983 0.6669 0.9561 1.7126 0.4866 0.2841 1.3151 -2.936 2.9043 1.1305 -1.2205 1.1796 -1.9765 -2.9484 1.4801 -0.9182 0.1159 0.5377 -2.0661 -2.6541 0.9948 -1.1501 -1.0601 -1.9455 -2.4358 -0.5198 -1.7035 -3.0078 -4.3391 1.2042 1.2424 -0.4343 2.2089 1.0579 2.1692 0.1766 -0.161 1.667 -0.8513 -1.4703 -1.7719 -4.1395 -3.2543 -3.2239 -0.5839 -1.6569 -1.5267 -0.2262 -0.1101 -0.0303 -2.4941 -1.9986 -4.2197 -1.067 -1.5082 -1.6834 -0.3302 -1.3604 1.24 -1.1699 -0.9765 -0.4777 0.5829 -1.7663 -1.6468 -1.2806 -2.9607 -1.7128 -3.266 -4.5979 -3.6606 -1.8815 -3.8759 -1.9274 -1.4956 -0.4575 -1.7855 -5.2086 -2.513 -3.0569 -5.2714 -4.479 -4.3998 -2.185 -2.0592 -1.6171 -0.4053 0.5035 -1.9795 -2.093 -1.6408 -2.2626 1.1557 0.8746 1.0002 2.367 0.7712 2.7267 0.99 1.3592 1.4816 -0.5092 -1.0402 -0.8349 -0.7723 -1.449 -1.227 0.3455 -0.3506 -2.1112 -0.618 -1.1036 1.382 2.0695 -2.097 -1.6617 1.1762 1.2518 -0.4842 -2.813 1.0454 -3.2312 0.8814 0.6954 -2.9377 -2.4311 -2.6395 -5.9446 -2.9765 -1.7984 -2.7457 -0.2615 2.028 -0.6778 -2.3083 -1.4458 -3.0159 -0.2549 -0.7081 0.7144 0.6515 2.4319 0.6946 -2.1911 0.6891 -0.1675 3.4477 2.312 2.8598 2.0991 1.1919 1.4046 3.0682 2.3274 3.2023 2.522 0.4687 4.053 0.1211 -1.611 -0.7033 1.2751 0.5621 2.6752 -0.2238 0.8769 0.9433 -1.3301 -0.133 -2.5282 0.2891 0.3511 0.2051 1.8513 1.0613 0.3103 0.4879 1.6279 2.9941 2.932 4.1903 3.2941 3.1712 5.0883 3.6277 5.8334 4.4154 0.5882 3.6581 3.2873 2.5818 3.6992 2.8251 1.4302 5.4805 0.4429 1.8806 3.5745 3.333 3.3941
CDK2 -0.6777 -1.6099 -0.08 -2.7834 -1.0529 8.8779 -3.0673 -4.2233 6.7777 1.2668 7.7283 6.0657 2.6477 7.0808 6.9245 0.9564 3.919 5.7757 -1.2263 1.4371 5.3524 -2.2521 1.9378 4.769 -0.318 1.3645 3.1532 -2.2137 -5.0314 5.8795 -1.1193 -1.6977 5.6245 0.3833 -2.6019 -1.3513 0.2485 0.4891 1.4254 0.8741 1.0903 4.9304 -1.4182 0.8286 5.9644 -0.8917 0.745 -0.674 0.1535 -1.9649 -0.6484 -0.8705 -3.1129 -0.7649 -1.3807 -3.8056 0.1273 -1.0568 -0.4888 0.5185 -1.5382 -0.0487 -2.3344 1.4919 3.1921 -0.5312 2.229 1.737 1.6274 2.8536 2.7801 -3.208 0.0131 0.5405 -3.0666 2.023 5.4438 -0.7736 -0.1284 3.3666 -4.4588 -0.3986 2.5426 3.6011 -0.5715 4.111 3.8674 -1.1417 -1.547 3.9113 0.5756 -1.2025 0.7832 0.2847 -0.2479 -0.3005 0.5633 -3.6853 1.2283 0.5433 -0.2548 1.5833 -0.2443 1.7509 0.9137 0.9257 -0.9499 3.8535 -2.4953 -1.4982 -2.958 -0.7222 -1.2829 -5.7125 -0.3975 -2.4815 -2.1715 -2.0308 -2.8227 -3.3552 -1.2503 -2.6271 -4.9361 -1.7149 -4.9083 -3.0664 -1.9418 -4.637 -3.7098 -2.9181 -7.4396 -4.8761 -1.7997 -4.1162 -0.403 1.5717 -1.1085 -1.7946 -1.251 -5.6315 -5.3111 0.375 -0.2571 -4.861 -0.9284 -6.1414 0.2703 -1.661 -2.1128 1.4693 -0.86 -4.5772 -3.3055 3.4612 5.5393 -1.9373 1.5882 1.5493 -0.4935 -0.5806 -0.8138 -2.4635 -0.0522 1.1758 -3.2304 0.8159 0.6805 2.918 -0.1856 2.3507 3.1086 -1.8182 0.9727 -1.3252 -2.041 -0.1805 0.8951 -3.5869 -3.7205 -2.6224 -0.2242 -2.2283 0.177 0.5669 0.396 1.2039 1.5715 1.2638 -1.4018 -1.3398 -5.6095 -0.365 -1.6619 -0.456 -1.1536 1.2897 4.0413 0.0503 1.2379 -0.9044 -5.34 2.5082 -1.3371 -4.2329 0.1631 -3.4163 1.396 -2.1124 -2.7433 -0.0356 -1.5115 1.0838 -0.8953 -1.5891 -1.5146 -0.826
CDK8 0.9269 5.9408 6.3443 -1.3015 7.3186 8.6722 -4.7989 6.5176 7.6316 2.9093 6.6079 7.2792 3.3371 9.1956 6.7062 -0.0252 4.4139 2.7931 1.4347 4.3083 5.2889 -1.2023 4.2922 4.0614 -0.983 -0.1721 -1.2984 -2.7858 1.0491 5.1943 -2.1197 6.1745 7.2393 1.4252 -0.6529 1.1398 0.7221 1.4744 -0.6721 0.5896 0.7716 0.66 -0.4281 -0.5709 4.4609 2.6005 1.4574 -0.6911 0.9289 -0.5395 -1.5291 -1.1123 -1.2772 -5.7125 -0.7313 2.3665 0.4791 1.1829 1.2625 1.4919 2.063 3.8816 -5.258 1.8936 2.6624 -0.6188 5.3875 5.6658 3.0229 3.5286 -0.4078 -5.997 -0.4399 -2.0312 -2.4498 3.3248 1.8857 -1.1844 3.604 0.7233 -6.8666 2.0761 7.7182 8.3543 4.4896 12.2816 10.8069 0.1322 4.1608 8.3771 0.9691 2.3583 6.3479 3.0374 9.2986 8.9469 1.1441 2.0801 7.4197 0.2561 2.0788 2.3815 0.222 7.4102 3.6727 0.5685 5.6112 4.4448 -3.0637 -6.1641 -5.047 -4.1716 -6.496 -9.0735 -2.0108 -10.2554 -4.2771 -4.8728 -11.6159 -6.8598 -8.0627 -13.9219 -9.6005 -7.2579 -11.1339 -4.0889 -3.5192 -6.3346 -3.8217 -10.0252 -11.5212 -7.7988 -7.3271 -4.643 -2.0109 -0.2991 -7.7689 -2.7236 -1.9535 -12.3955 -3.1022 -4.1057 -10.6432 -9.6246 -1.6985 0.9904 -5.9644 -3.9291 -4.8954 -2.8086 -5.7523 -9.0136 -8.6521 4.3685 3.6593 -3.0959 3.8696 0.454 -2.0413 -4.6437 -2.8143 -6.6469 1.0047 1.878 -2.2729 1.9436 -1.0651 0.4785 -2.9289 -3.1182 0.8323 -0.446 -0.9572 0.2315 -0.8223 3.8525 1.9969 -3.9682 -3.5791 0.9091 -1.2606 -1.5635 1.7684 -0.7282 -0.5056 2.6371 0.3838 -1.2647 -0.4608 -4.7324 -8.568 -10.4955 -7.5153 -7.4373 -8.9961 -1.9963 -5.035 -2.9268 -2.7822 -9.5669 -5.1938 -3.4843 -6.6859 -6.3532 -5.5686 -8.8667 -2.0778 -1.7516 -1.5842 0.5976 -1.5194 2.1919 -0.0575 0.3238 0.2215 -1.2382
CDK9 -0.4929 -1.6448 -1.4857 0.0238 1.1349 3.5261 -1.2769 -2.6016 -1.8941 1.5098 1.2306 0.0848 2.139 2.8241 2.7074 -0.2154 0.0036 -3.3429 2.0268 2.412 3.7339 1.3812 1.6906 1.669 1.4763 2.2747 0.1676 -1.2163 -0.924 2.6932 -0.6771 -1.4827 1.2701 -0.9146 -4.5352 -0.7579 1.2313 1.0604 2.8023 -3.6198 -3.0012 -0.7426 -1.7667 -4.3828 -1.8935 1.2712 2.4639 1.4083 -1.3429 -2.313 -0.0544 0.949 0.4637 1.6019 -2.8401 -2.3761 -3.4084 -1.2617 -2.2168 -1.9116 -1.5064 -0.9877 -3.0204 -1.5956 -2.4424 -3.8869 -2.4506 -2.1593 -4.2494 -0.4434 -1.7493 -7.0846 -1.2347 -2.3767 -1.6468 -1.5043 -0.459 -1.8557 -0.1593 -0.481 -4.5275 -1.3898 0.1191 0.9724 -0.4057 0.3295 1.676 -3.1862 -2.623 1.0429 -0.6221 0.1109 -0.6903 -1.3711 4.0106 1.3538 -4.5672 -5.5436 -3.5866 0.2298 0.1675 1.3607 -0.2143 4.3112 2.8776 -2.1675 -3.1938 -1.8938 2.6802 1.5793 1.8619 0.2253 0.5594 -0.2049 1.7494 1.2641 0.6166 -0.7096 -1.5667 0.2286 -2.482 0.604 -0.1362 -1.3698 -0.7004 -0.5929 0.4272 -2.3736 0.1375 -0.1105 -1.9411 -0.8765 1.4974 3.3238 2.7521 -3.0682 -3.6236 -5.1747 1.5015 -4.4626 -2.9144 -1.9516 -3.3514 -3.5137 -2.6767 -3.1192 -3.1182 3.1545 0.4964 1.807 -2.6488 -4.6945 -4.2082 -0.2893 1.322 -1.918 2.4128 1.3424 2.5144 -1.0622 -1.9762 -1.0968 1.9683 3.8609 2.5536 0.4568 1.3377 1.4856 3.8926 3.6547 5.6602 1.5268 0.4091 2.3259 -0.4887 0.0595 3.0069 1.9324 0.3664 1.5687 0.3888 0.1833 0.3533 -0.1744 0.6307 -0.9732 1.1981 1.3861 0.5591 0.506 -2.2553 -1.1898 4.2392 5.9329 2.7568 1.3874 1.7267 0.6151 3.1812 -0.2312 0.2266 2.0541 0.5791 -0.2734 1.3666 -0.5087 2.2565 2.1514 -1.0714 1.1272 0.2172 -2.4227 -0.6801 -0.8175 -2.257 1.4512
